product_id,title,category,price,discount_Percentage,rating,stock,warranty_Information,return_Policy
1,Essence Mascara Lash Princess,beauty,9.99,10.48,2.56,99,1 week ,No 
2,Eyeshadow Palette with Mirror,beauty,19.99,18.19,2.86,34,1 year ,7 days 
3,Powder Canister,beauty,14.99,9.84,4.64,89,3 months ,No 
4,Red Lipstick,beauty,12.99,12.16,4.36,91,3 year ,7 days 
5,Red Nail Polish,beauty,8.99,11.44,4.32,79,1 month ,No 
6,Calvin Klein CK One,fragrances,49.99,1.89,4.37,29,1 week ,90 days 
7,Chanel Coco Noir Eau De,fragrances,129.99,16.51,4.26,58,3 year ,No 
8,Dior J'adore,fragrances,89.99,14.72,3.8,98,1 week ,7 days 
9,Dolce Shine Eau de,fragrances,69.99,0.62,3.96,4,3 year ,7 days 
10,Gucci Bloom Eau de,fragrances,79.99,14.39,2.74,91,6 months ,No 
11,Annibale Colombo Bed,furniture,1899.99,8.57,4.77,88,1 year ,No 
12,Annibale Colombo Sofa,furniture,2499.99,14.4,3.92,60,Lifetime ,7 days 
13,Bedside Table African Cherry,furniture,299.99,19.09,2.87,64,5 year ,7 days 
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,2.01,4.88,26,2 year ,60 days 
15,Wooden Bathroom Sink With Mirror,furniture,799.99,8.8,3.59,7,3 year ,60 days 
16,Apple,groceries,1.99,12.62,4.19,8,3 year ,90 days 
17,Beef Steak,groceries,12.99,9.61,4.47,86,3 year ,60 days 
18,Cat Food,groceries,8.99,9.58,3.13,46,1 year ,No 
19,Chicken Meat,groceries,9.99,13.7,3.19,97,1 year ,7 days 
20,Cooking Oil,groceries,4.99,9.33,4.8,10,Lifetime ,30 days 
21,Cucumber,groceries,1.49,0.16,4.07,84,2 year ,7 days 
22,Dog Food,groceries,10.99,10.27,4.55,71,No ,60 days 
23,Eggs,groceries,2.99,11.05,2.53,9,1 week ,No 
24,Fish Steak,groceries,14.99,4.23,3.78,74,1 month ,60 days 
25,Green Bell Pepper,groceries,1.29,0.16,3.25,33,1 month ,30 days 
26,Green Chili Pepper,groceries,0.99,1.0,3.66,3,2 year ,30 days 
27,Honey Jar,groceries,6.99,14.4,3.97,34,1 month ,90 days 
28,Ice Cream,groceries,5.49,8.69,3.39,27,1 month ,No 
29,Juice,groceries,3.99,12.06,3.94,50,6 months ,No 
30,Kiwi,groceries,2.49,15.22,4.93,99,6 months ,7 days 
31,Lemon,groceries,0.79,9.7,3.53,31,No ,7 days 
32,Milk,groceries,3.49,13.74,2.61,27,3 year ,7 days 
33,Mulberry,groceries,4.99,12.87,4.95,99,2 year ,No 
34,Nescafe Coffee,groceries,7.99,1.59,4.82,57,1 year ,30 days 
35,Potatoes,groceries,2.29,5.38,4.81,13,3 year ,90 days 
36,Protein Powder,groceries,19.99,7.59,4.18,80,1 week ,No 
37,Red Onions,groceries,1.99,9.9,4.2,82,1 month ,7 days 
38,Rice,groceries,5.99,9.29,3.18,59,6 months ,No 
39,Soft Drinks,groceries,1.99,17.48,4.75,53,6 months ,7 days 
40,Strawberry,groceries,3.99,1.12,3.08,46,1 week ,No 
41,Tissue Paper Box,groceries,2.49,13.28,2.69,86,No ,90 days 
42,Water,groceries,0.99,14.92,4.96,53,3 months ,7 days 
43,Decoration Swing,home-decoration,59.99,10.41,3.16,47,1 week ,90 days 
44,Family Tree Photo Frame,home-decoration,29.99,14.87,4.53,77,1 month ,No 
45,House Showpiece Plant,home-decoration,39.99,7.46,4.67,28,1 year ,No 
46,Plant Pot,home-decoration,14.99,6.84,3.01,59,Lifetime ,30 days 
47,Table Lamp,home-decoration,49.99,7.09,3.55,9,3 months ,90 days 
48,Bamboo Spatula,kitchen-accessories,7.99,2.84,3.27,37,1 month ,60 days 
49,Black Aluminium Cup,kitchen-accessories,5.99,15.65,4.46,75,1 year ,30 days 
50,Black Whisk,kitchen-accessories,9.99,10.24,3.9,73,3 months ,30 days 
51,Boxed Blender,kitchen-accessories,39.99,7.26,4.56,9,5 year ,7 days 
52,Carbon Steel Wok,kitchen-accessories,29.99,6.53,4.05,40,2 year ,7 days 
53,Chopping Board,kitchen-accessories,12.99,8.03,3.7,14,3 months ,No 
54,Citrus Squeezer Yellow,kitchen-accessories,8.99,12.1,4.63,22,2 year ,60 days 
55,Egg Slicer,kitchen-accessories,6.99,14.76,3.09,40,1 week ,No 
56,Electric Stove,kitchen-accessories,49.99,14.04,4.11,21,2 year ,7 days 
57,Fine Mesh Strainer,kitchen-accessories,9.99,3.5,3.04,85,1 month ,7 days 
58,Fork,kitchen-accessories,3.99,8.07,3.11,7,No ,No 
59,Glass,kitchen-accessories,4.99,7.92,4.02,46,3 year ,7 days 
60,Grater Black,kitchen-accessories,10.99,3.56,3.21,84,1 month ,60 days 
61,Hand Blender,kitchen-accessories,34.99,17.02,3.86,84,1 year ,No 
62,Ice Cube Tray,kitchen-accessories,5.99,0.63,4.71,13,1 month ,No 
63,Kitchen Sieve,kitchen-accessories,7.99,18.91,3.09,68,1 month ,No 
64,Knife,kitchen-accessories,14.99,18.86,3.26,7,1 month ,7 days 
65,Lunch Box,kitchen-accessories,12.99,10.34,4.93,94,5 year ,30 days 
66,Microwave Oven,kitchen-accessories,89.99,12.13,4.82,59,1 year ,7 days 
67,Mug Tree Stand,kitchen-accessories,15.99,9.25,2.64,88,1 year ,30 days 
68,Pan,kitchen-accessories,24.99,3.0,2.79,90,1 year ,30 days 
69,Plate,kitchen-accessories,3.99,7.31,3.65,66,1 year ,90 days 
70,Red Tongs,kitchen-accessories,6.99,14.52,4.42,82,No ,30 days 
71,Silver Pot With Glass Cap,kitchen-accessories,39.99,5.7,3.22,40,1 year ,90 days 
72,Slotted Turner,kitchen-accessories,8.99,13.35,3.4,88,Lifetime ,7 days 
73,Spice Rack,kitchen-accessories,19.99,12.09,4.87,79,1 week ,7 days 
74,Spoon,kitchen-accessories,4.99,1.53,4.03,59,1 year ,90 days 
75,Tray,kitchen-accessories,16.99,7.48,4.62,71,5 year ,7 days 
76,Wooden Rolling Pin,kitchen-accessories,11.99,9.75,2.92,80,3 year ,30 days 
77,Yellow Peeler,kitchen-accessories,5.99,12.48,4.24,35,1 month ,90 days 
78,Apple MacBook Pro 14 Inch Space Grey,laptops,1999.99,4.69,3.65,24,3 year ,90 days 
79,Asus Zenbook Pro Dual Screen Laptop,laptops,1799.99,11.14,3.95,45,3 year ,7 days 
80,Huawei Matebook X Pro,laptops,1399.99,9.38,4.98,75,No ,60 days 
81,Lenovo Yoga 920,laptops,1099.99,6.55,2.86,40,6 months ,No 
82,New DELL XPS 13 9300 Laptop,laptops,1499.99,11.89,2.67,74,2 year ,60 days 
83,Blue & Black Check Shirt,mens-shirts,29.99,15.35,3.64,38,3 year ,30 days 
84,Gigabyte Aorus Men Tshirt,mens-shirts,24.99,0.94,3.18,90,3 year ,30 days 
85,Man Plaid Shirt,mens-shirts,34.99,19.5,3.46,82,1 week ,7 days 
86,Man Short Sleeve Shirt,mens-shirts,19.99,6.83,2.9,2,3 year ,30 days 
87,Men Check Shirt,mens-shirts,27.99,11.38,2.72,95,No ,30 days 
88,Nike Air Jordan 1 Red And Black,mens-shoes,149.99,4.12,4.77,7,1 year ,No 
89,Nike Baseball Cleats,mens-shoes,79.99,18.04,3.88,12,6 months ,No 
90,Puma Future Rider Trainers,mens-shoes,89.99,4.2,4.9,90,5 year ,90 days 
91,Sports Sneakers Off White & Red,mens-shoes,119.99,4.97,4.77,17,1 week ,30 days 
92,Sports Sneakers Off White Red,mens-shoes,109.99,0.04,4.69,62,3 months ,60 days 
93,Brown Leather Belt Watch,mens-watches,89.99,5.99,4.19,32,1 year ,30 days 
94,Longines Master Collection,mens-watches,1499.99,17.24,3.87,100,1 week ,7 days 
95,Rolex Cellini Date Black Dial,mens-watches,8999.99,8.88,4.97,40,3 months ,90 days 
96,Rolex Cellini Moonphase,mens-watches,12999.99,17.52,2.58,36,6 months ,7 days 
97,Rolex Datejust,mens-watches,10999.99,3.73,3.66,86,2 year ,7 days 
98,Rolex Submariner Watch,mens-watches,13999.99,5.05,2.69,55,5 year ,90 days 
99,Amazon Echo Plus,mobile-accessories,99.99,12.07,4.99,61,6 months ,7 days 
100,Apple Airpods,mobile-accessories,129.99,15.54,4.15,67,3 year ,No 
101,Apple AirPods Max Silver,mobile-accessories,549.99,13.67,3.47,59,No ,No 
102,Apple Airpower Wireless Charger,mobile-accessories,79.99,4.48,3.68,1,2 year ,90 days 
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,99.99,18.1,4.62,27,3 months ,90 days 
104,Apple iPhone Charger,mobile-accessories,19.99,18.52,4.15,31,1 year ,90 days 
105,Apple MagSafe Battery Pack,mobile-accessories,99.99,17.17,3.62,1,2 year ,No 
106,Apple Watch Series 4 Gold,mobile-accessories,349.99,12.02,2.74,33,6 months ,No 
107,Beats Flex Wireless Earphones,mobile-accessories,49.99,5.73,4.24,50,1 year ,7 days 
108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,29.99,13.85,3.62,69,3 months ,90 days 
109,Monopod,mobile-accessories,19.99,8.58,4.43,48,1 year ,60 days 
110,Selfie Lamp with iPhone,mobile-accessories,14.99,19.4,3.55,58,Lifetime ,60 days 
111,Selfie Stick Monopod,mobile-accessories,12.99,19.12,3.88,11,3 year ,30 days 
112,TV Studio Camera Pedestal,mobile-accessories,499.99,8.31,2.78,15,3 months ,7 days 
113,Generic Motorcycle,motorcycle,3999.99,12.1,4.91,34,1 year ,7 days 
114,Kawasaki Z800,motorcycle,8999.99,9.77,3.98,52,Lifetime ,90 days 
115,MotoGP CI.H1,motorcycle,14999.99,6.92,2.97,10,1 month ,30 days 
116,Scooter Motorcycle,motorcycle,2999.99,6.27,2.53,84,5 year ,7 days 
117,Sportbike Motorcycle,motorcycle,7499.99,11.58,3.94,0,5 year ,30 days 
118,Attitude Super Leaves Hand Soap,skin-care,8.99,18.49,3.19,94,6 months ,60 days 
119,Olay Ultra Moisture Shea Butter Body Wash,skin-care,12.99,16.39,4.51,34,1 year ,30 days 
120,Vaseline Men Body and Face Lotion,skin-care,9.99,13.39,3.16,95,Lifetime ,90 days 
121,iPhone 5s,smartphones,199.99,12.91,2.83,25,Lifetime ,60 days 
122,iPhone 6,smartphones,299.99,6.69,3.41,60,1 month ,7 days 
123,iPhone 13 Pro,smartphones,1099.99,9.37,4.12,56,3 year ,7 days 
124,iPhone X,smartphones,899.99,19.59,2.51,37,3 months ,7 days 
125,Oppo A57,smartphones,249.99,2.43,3.94,19,Lifetime ,90 days 
126,Oppo F19 Pro Plus,smartphones,399.99,18.64,3.51,78,3 year ,90 days 
127,Oppo K1,smartphones,299.99,18.29,4.25,55,1 month ,30 days 
128,Realme C35,smartphones,149.99,15.3,4.2,48,3 year ,90 days 
129,Realme X,smartphones,299.99,6.95,3.7,12,1 month ,No 
130,Realme XT,smartphones,349.99,11.51,4.58,80,3 year ,60 days 
131,Samsung Galaxy S7,smartphones,299.99,19.55,3.3,67,3 months ,No 
132,Samsung Galaxy S8,smartphones,499.99,19.45,4.4,0,2 year ,No 
133,Samsung Galaxy S10,smartphones,699.99,5.59,3.06,19,No ,30 days 
134,Vivo S1,smartphones,249.99,10.17,3.5,50,6 months ,7 days 
135,Vivo V9,smartphones,299.99,17.67,3.6,82,2 year ,60 days 
136,Vivo X21,smartphones,499.99,17.41,4.26,7,1 year ,60 days 
137,American Football,sports-accessories,19.99,4.93,4.91,53,6 months ,90 days 
138,Baseball Ball,sports-accessories,8.99,1.71,2.57,100,6 months ,30 days 
139,Baseball Glove,sports-accessories,24.99,2.9,3.96,22,Lifetime ,90 days 
140,Basketball,sports-accessories,14.99,7.44,4.66,75,1 year ,90 days 
141,Basketball Rim,sports-accessories,39.99,7.74,4.6,43,3 months ,No 
142,Cricket Ball,sports-accessories,12.99,8.63,3.53,30,3 year ,7 days 
143,Cricket Bat,sports-accessories,29.99,3.29,3.17,98,1 year ,No 
144,Cricket Helmet,sports-accessories,44.99,9.64,4.69,10,Lifetime ,60 days 
145,Cricket Wicket,sports-accessories,29.99,16.93,4.73,25,3 months ,No 
146,Feather Shuttlecock,sports-accessories,5.99,2.95,2.85,95,3 year ,60 days 
147,Football,sports-accessories,17.99,5.15,3.28,96,Lifetime ,7 days 
148,Golf Ball,sports-accessories,9.99,17.37,4.3,84,1 year ,No 
149,Iron Golf,sports-accessories,49.99,6.53,4.41,90,3 months ,7 days 
150,Metal Baseball Bat,sports-accessories,29.99,19.51,4.66,16,3 year ,60 days 
151,Tennis Ball,sports-accessories,6.99,11.76,4.06,28,5 year ,7 days 
152,Tennis Racket,sports-accessories,49.99,19.61,4.03,6,5 year ,7 days 
153,Volleyball,sports-accessories,11.99,12.25,3.84,0,1 week ,90 days 
154,Black Sun Glasses,sunglasses,29.99,4.94,4.41,60,No ,7 days 
155,Classic Sun Glasses,sunglasses,24.99,4.94,3.86,1,6 months ,90 days 
156,Green and Black Glasses,sunglasses,34.99,1.01,4.55,24,1 year ,30 days 
157,Party Glasses,sunglasses,19.99,11.22,2.79,86,3 months ,7 days 
158,Sunglasses,sunglasses,22.99,1.51,3.02,27,3 year ,60 days 
159,iPad Mini 2021 Starlight,tablets,499.99,3.64,3.18,47,2 year ,No 
160,Samsung Galaxy Tab S8 Plus Grey,tablets,599.99,13.31,4.68,62,3 months ,7 days 
161,Samsung Galaxy Tab White,tablets,349.99,18.2,3.72,92,3 months ,7 days 
162,Blue Frock,tops,29.99,12.13,4.17,52,Lifetime ,60 days 
163,Girl Summer Dress,tops,19.99,19.2,4.77,43,Lifetime ,60 days 
164,Gray Dress,tops,34.99,14.28,2.72,55,1 month ,90 days 
165,Short Frock,tops,24.99,13.45,3.23,22,1 year ,30 days 
166,Tartan Dress,tops,39.99,12.95,4.05,73,1 month ,No 
167,300 Touring,vehicle,28999.99,3.98,4.05,54,3 year ,30 days 
168,Charger SXT RWD,vehicle,32999.99,8.23,2.58,57,1 month ,No 
169,Dodge Hornet GT Plus,vehicle,24999.99,2.63,2.65,82,1 year ,60 days 
170,Durango SXT RWD,vehicle,36999.99,16.44,4.07,95,2 year ,30 days 
171,Pacifica Touring,vehicle,31999.99,14.76,3.62,53,1 month ,60 days 
172,Blue Women's Handbag,womens-bags,49.99,17.88,2.92,76,1 year ,7 days 
173,Heshe Women's Leather Bag,womens-bags,129.99,3.87,4.92,99,5 year ,90 days 
174,Prada Women Bag,womens-bags,599.99,14.09,2.71,75,3 year ,60 days 
175,White Faux Leather Backpack,womens-bags,39.99,15.2,3.36,39,2 year ,90 days 
176,Women Handbag Black,womens-bags,59.99,11.63,2.89,11,Lifetime ,60 days 
177,Black Women's Gown,womens-dresses,129.99,10.48,3.64,25,Lifetime ,No 
178,Corset Leather With Skirt,womens-dresses,89.99,16.26,3.05,30,2 year ,30 days 
179,Corset With Black Skirt,womens-dresses,79.99,15.06,4.52,33,1 month ,No 
180,Dress Pea,womens-dresses,49.99,17.68,4.88,6,2 year ,90 days 
181,Marni Red & Black Suit,womens-dresses,179.99,19.02,4.48,62,5 year ,90 days 
182,Green Crystal Earring,womens-jewellery,29.99,15.24,3.96,54,5 year ,60 days 
183,Green Oval Earring,womens-jewellery,24.99,15.18,3.57,73,3 months ,60 days 
184,Tropical Earring,womens-jewellery,19.99,0.76,4.4,1,3 year ,7 days 
185,Black & Brown Slipper,womens-shoes,19.99,3.33,2.53,3,Lifetime ,60 days 
186,Calvin Klein Heel Shoes,womens-shoes,79.99,3.19,4.92,93,2 year ,60 days 
187,Golden Shoes Woman,womens-shoes,49.99,13.93,3.26,88,6 months ,7 days 
188,Pampi Shoes,womens-shoes,29.99,14.14,3.05,49,No ,60 days 
189,Red Shoes,womens-shoes,34.99,17.69,3.25,7,No ,60 days 
190,IWC Ingenieur Automatic Steel,womens-watches,4999.99,9.45,2.93,90,1 year ,No 
191,Rolex Cellini Moonphase,womens-watches,15999.99,4.11,3.83,52,1 month ,30 days 
192,Rolex Datejust Women,womens-watches,10999.99,15.94,2.86,4,5 year ,No 
193,Watch Gold for Women,womens-watches,799.99,18.34,4.24,0,2 year ,60 days 
194,Women's Wrist Watch,womens-watches,129.99,12.6,3.52,12,1 year ,No 
